"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.693450038374571,0.093450038374571,0.750222595088304,0.150222595088304,0.312101847642813,0.342624514103805,0.404459106890259
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.32503662348277,0.27496337651723,0.506310892708958,0.093689107291042,0.0744172297413179,0.0502957389399346,0.22599552536693
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.417963436422793,0.182036563577207,0.720043350724445,0.120043350724445,0.306964155600491,0.251215439806115,0.301363040456372
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.603872545833328,0.0038725458333283,0.820437705653032,0.220437705653032,0.319001350620764,0.197733510424201,0.374806814992401
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.549916889862552,0.0500831101374482,0.638493776609811,0.0384937766098108,0.0974364237553532,0.032566591437868,0.376026132588335
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.452836652675997,0.147163347324003,0.671199064362151,0.0711990643621506,0.189373853867608,0.110178903458164,0.224036040025284
"2",0.465627057737756,0.134372942262244,0.517457982530925,0.0825420174690746,0.0101127868036754,0.197782738028105,0.225059536141118
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.74086575357781,0.14086575357781,0.999448852829441,0.399448852829441,0.502375489095645,0.596966985639706,0.421143368710538
"2",0.231959335890644,0.368040664109356,0.429865930151676,0.170134069848324,0.05685540436019,0.206578230663251,0.0277563200319679
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.284293169669271,0.315706830330729,0.183501789903555,0.416498210096445,0.14337373648358,0.106412102316779,0.360562257013537
"2",0.854825982703446,0.254825982703446,1.16873951598687,0.568739515986867,0.560926998923178,0.34902776702224,0.545458718269622
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.484568693242139,0.115431306757861,0.703780753442689,0.103780753442689,0.00266381481666111,0.036448233109597,0.325467207331302
"2",0.664372055490443,0.0643720554904428,0.772508066958827,0.172508066958827,0.293482982834975,0.287391622835164,0.52331896018159
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.380437831617524,0.219562168382476,0.549375244215747,0.0506247557842525,0.0388462905691191,0.0752629699130554,0.123233208849853
"2",0.258536412254399,0.341463587745601,0.509671209629884,0.0903287903701163,0.0613804513714938,0.232177815956324,0.018588294197075
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.828106952195502,0.228106952195502,0.897992552574157,0.297992552574157,0.411677067291105,0.330026348313753,0.512138269183612
"2",0.526081165929938,0.0739188340700623,0.712134586707237,0.112134586707237,0.148843546451552,0.332854878241539,0.17142341260694
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.674926220705187,0.0749262207051874,0.721137597880017,0.121137597880017,0.200043170323247,0.100330665846656,0.28741109193524
"2",0.432618754203433,0.167381245796567,0.645703100905829,0.0457031009058289,0.14569473773814,0.18593566922624,0.315245166562776
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.765046199771858,0.165046199771858,0.854492856107459,0.254492856107459,0.24655827872366,0.246750881446094,0.329268908885326
"2",0.628122245506141,0.028122245506141,0.905291134056806,0.305291134056806,0.486238094237588,0.425913767405886,0.497303373866077
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.442896060849246,0.157103939150754,0.835375164085168,0.235375164085168,0.202443218344047,0.302999270049772,0.460029064544105
"2",0.469123688987178,0.130876311012822,0.561459441914358,0.0385405580856424,0.0486601163667857,0.0738891988351994,0.17488363549944
"latent.est","latent.errors","IPW.est","IPW.errors","linear","match","nieve"
"1",0.647527828452425,0.0475278284524251,0.96093557079183,0.36093557079183,0.506608953805546,0.421044067822598,0.622312925170553
"2",0.867798387820749,0.267798387820749,1.10927022824685,0.509270228246848,0.724434616687383,0.520473376653814,0.708493898334458
"1",0.450016292880977,0.149983707119023,0.554951253535347,0.0450487464646533,0.299655272626109,0.0902225677661731,0.249495473606903
"2",0.458691435256539,0.141308564743461,0.567660232589501,0.0323397674104985,0.0476931189930331,0.229899074204129,0.179931527850908
"1",0.716455926936052,0.116455926936052,0.687358333652553,0.0873583336525533,0.287326074012207,0.1131667021354,0.420348941851057
"2",0.278486958189395,0.321513041810605,0.750108917155341,0.150108917155341,0.222688170560236,0.262847843634421,0.376288700635624
"1",0.578063195015091,0.021936804984909,0.840048471520586,0.240048471520586,0.216029733713911,0.20205961275715,0.303182841183309
"2",0.560645339713204,0.0393546602867964,0.651489652908459,0.0514896529084591,0.068780678308737,0.0769359621555388,0.0896552981709764
"1",0.553487851509529,0.0465121484904715,0.741484957903019,0.141484957903019,0.218919971071731,0.268157947045525,0.211419003514442
"2",0.034068759317475,0.565931240682525,0.267334786401206,0.332665213598794,0.039263596442724,0.489668881768016,0.0822973640487209
"1",0.268578221448285,0.331421778551715,0.532254282501489,0.0677457174985113,0.0350558409189687,0.0591353103815145,0.00267991528514633
"2",0.323440735221261,0.276559264778739,0.695556014996552,0.0955560149965516,0.150882551346439,0.051467253988404,0.152399556169583
